=== ESTRUCTURA COMPLETA DE BASE DE DATOS ===

-- TABLAS Y SUS COLUMNAS
TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
                        'año_desde': año_desde,
                        'año_hasta': año_hasta,
                        'cilindrada': cilindrada
                    })
                    
                    productos_nuevos += 1
                    print(f"{self.COLOR_VERDE}   ✅ Producto listo para crear al confirmar (código automático){self.COLOR_RESET}")
                    print(f"      {cantidad} x ${precio:.2f} = ${cantidad * precio:.2f}")
                    
                except ValueError:
                    print(f"{self.COLOR_ROJO}❌ Valor inválido{self.COLOR_RESET}")
                    continue
                    
            else:
                print(f"{self.COLOR_ROJO}   ❌ Opción inválida{self.COLOR_RESET}")
                continue
        
        if not items_recibidos:
            print(f"{self.COLOR_ROJO}❌ No se ingresaron productos{self.COLOR_RESET}")
            self.pausa()
            return
        
        # 4. RESUMEN DE PRODUCTOS INGRESADOS
        print(f"\n{self.COLOR_AMARILLO}4. RESUMEN DE PRODUCTOS INGRESADOS{self.COLOR_RESET}")
        print(f"   {self.COLOR_CYAN}{'-'*60}{self.COLOR_RESET}")
        print(f"   Total productos: {len(items_recibidos)}")
        print()
        
        subtotal_usd = 0
        for item in items_recibidos:
            subtotal_item = item['cantidad'] * item['precio']
            subtotal_usd += subtotal_item
            estado = "NUEVO" if item['es_nuevo'] else "EXISTENTE"
            print(f"   {item['nombre']}: {item['cantidad']} unidades - USD {subtotal_item:.2f} {estado}")
        
        print(f"\n   Subtotal USD: {self.COLOR_AMARILLO}{subtotal_usd:,.2f}{self.COLOR_RESET}")
        print(f"   {self.COLOR_CYAN}{'-'*60}{self.COLOR_RESET}")
        
        # 5. DEVOLUCIONES
        print(f"\n{self.COLOR_AMARILLO}5. DEVOLUCIONES{self.COLOR_RESET}")
        print("   ¿Hubo devoluciones? [1] Sí [2] No")
        dev_opcion = input("   Seleccione: ")
        
        devoluciones = []
        if dev_opcion == '1':
            print(f"\n{self.COLOR_AMARILLO}   📤 REGISTRAR DEVOLUCIÓN{self.COLOR_RESET}")
            
            while True:
                print(f"\n   {self.COLOR_CYAN}{'-'*40}{self.COLOR_RESET}")
                codigo_dev = input("   Producto a devolver (código) [Enter para terminar]: ").strip()
                if not codigo_dev:
                    break
                
                # Buscar si el producto está en la recepción
                producto_encontrado = None
                for item in items_recibidos:
                    if item['codigo'] == codigo_dev:
                        producto_encontrado = item
                        break
                
                if not producto_encontrado:
                    print(f"{self.COLOR_ROJO}❌ Producto no está en esta recepción{self.COLOR_RESET}")
                    continue
                
                print(f"   → {producto_encontrado['nombre']}")
                print(f"   Lote: {producto_encontrado.get('lote', 'N/A')}")
                
                try:
                    cantidad_dev = int(input("   Cantidad a devolver: "))
                    if cantidad_dev <= 0 or cantidad_dev > producto_encontrado['cantidad']:
                        print(f"{self.COLOR_ROJO}❌ Cantidad inválida (máx {producto_encontrado['cantidad']}){self.COLOR_RESET}")
                        continue
                    
                    print("   Motivo de devolución:")
                    print("   [1] Producto vencido")
                    print("   [2] Producto dañado")
                    print("   [3] Producto incorrecto")
                    print("   [4] Otro")
                    motivo_opcion = input("   Seleccione: ")
                    
                    motivos = {
                        '1': 'Producto vencido',
                        '2': 'Producto dañado',
                        '3': 'Producto incorrecto',
                        '4': 'Otro'
                    }
                    motivo = motivos.get(motivo_opcion, 'Otro')
                    
                    observaciones_dev = input("   Observaciones (opcional): ").strip() or None
                    
                    devoluciones.append({
                        'producto': producto_encontrado,
                        'cantidad': cantidad_dev,
                        'motivo': motivo,
                        'observaciones': observaciones_dev
                    })
                    
                    print(f"{self.COLOR_VERDE}   ✅ Devolución registrada{self.COLOR_RESET}")
                    
                    # Preguntar si desea registrar otra devolución
                    print(f"\n{self.COLOR_AMARILLO}   ¿Registrar otra devolución? [S/N]: {self.COLOR_RESET}")
                    if input().upper() != 'S':
                        break
                    
                except ValueError:
                    print(f"{self.COLOR_ROJO}❌ Valor inválido{self.COLOR_RESET}")
                    continue
        
        # 6. CONFIRMACIÓN FINAL
        print(f"\n{self.COLOR_AMARILLO}6. CONFIRMACIÓN FINAL{self.COLOR_RESET}")
        print(f"   {self.COLOR_CYAN}{'='*60}{self.COLOR_RESET}")
        print(f"{self.COLOR_VERDE}   📋 RESUMEN COMPLETO DE RECEPCIÓN{self.COLOR_RESET}")
        print(f"   {self.COLOR_CYAN}{'='*60}{self.COLOR_RESET}")
        
        if orden_data:
            print(f"   Orden: {orden_data['codigo_factura']} ({orden_data['proveedor']})")
        else:
            print(f"   Recepción directa - Proveedor ID: {idproveedor}")
        print(f"   Fecha recepción: {fecha_recepcion_input}")
        print(f"   Estado: {estado_mercancia}")
        print(f"\n   {self.COLOR_VERDE}Productos recibidos:{self.COLOR_RESET}")
        
        total_neto = 0
        for item in items_recibidos:
            print(f"   ✓ {item['nombre']}: {item['cantidad']} uds ${item['precio']:.2f} c/u")
            total_neto += item['cantidad']
        
        if devoluciones:
            print(f"\n   {self.COLOR_AMARILLO}Devoluciones:{self.COLOR_RESET}")
            for dev in devoluciones:
                print(f"   ✗ {dev['producto']['nombre']}: {dev['cantidad']} uds - {dev['motivo']}")
                total_neto -= dev['cantidad']
        
        print(f"\n   Total neto recibido: {total_neto} unidades")
        print(f"   Productos nuevos creados: {productos_nuevos}")
        print(f"   Devoluciones procesadas: {len(devoluciones)}")
        print(f"   {self.COLOR_CYAN}{'='*60}{self.COLOR_RESET}")
        
        confirmar = input(f"\n{self.COLOR_AMARILLO}¿Confirmar recepción? [S/N]: {self.COLOR_RESET}").upper()
        
        if confirmar == 'S':
            print(f"\n{self.COLOR_VERDE}   🔄 PROCESANDO...{self.COLOR_RESET}")
            print(f"   {self.COLOR_CYAN}{'-'*60}{self.COLOR_RESET}")
            
            # Generar ID de recepción
            from datetime import datetime
            idrecepcion = datetime.now().strftime('%Y%m%d%H%M%S')
            
            # Registrar cada producto en kardex
            from capa_negocio.inventario_service import InventarioService
            inventario_service = InventarioService(self.articulo_service)
            
            productos_registrados = 0
            productos_creados = 0
            
            for item in items_recibidos:
                try:
                    if item['es_nuevo']:
                        # Crear nuevo producto en BD
                        if hasattr(self.articulo_service, 'crear_articulo'):
                            # DEBUG - Verificar que item tiene 'codigo'
                            print(f"🔍 DEBUG - item tiene 'codigo': {'codigo' in item}")
                            print(f"🔍 DEBUG - valor de item['codigo']: {item.get('codigo', 'NO EXISTE')}")
                            print(f"🔍 DEBUG - Llamando a crear_articulo con codigo_barras={item['codigo']}")
                            
                            nuevo_id = self.articulo_service.crear_articulo(
                                codigo_barras_original=item['codigo'], 
                                nombre=item['nombre'],
                                idcategoria=item.get('idcategoria', 1),
                                precio_venta=item['precio'],
                                stock_minimo=5,
                                precio_compra=item['precio'],
                                id_impuesto=item.get('id_impuesto', 2),                                
                                repo_aprendizaje=repo_aprendizaje
                            )
                            
                            if nuevo_id:
                                item['idarticulo'] = int(nuevo_id)
                                productos_creados += 1
                                print(f"{self.COLOR_VERDE}   ✅ Producto {item['nombre']} creado con ID {nuevo_id}{self.COLOR_RESET}")
                            else:
                                print(f"{self.COLOR_ROJO}   ❌ Error creando producto {item['nombre']}{self.COLOR_RESET}")
                                continue
                        else:
                            print(f"{self.COLOR_ROJO}   ❌ Método crear_articulo no disponible{self.COLOR_RESET}")
                            continue
                    
                    # Registrar movimiento en kardex
                    if item.get('idarticulo'):
                        resultado = inventario_service.registrar_movimiento(
                            idarticulo=int(item['idarticulo']), 
                            tipo_movimiento='ENTRADA',
                            cantidad=item['cantidad'],
                            referencia=f"RECEPCIÓN #{idrecepcion} - Orden: {orden_data['codigo_factura'] if orden_data else 'Directa'}",
                            precio_compra=item['precio'],
                            lote=item.get('lote'),
                            fecha_vencimiento=item.get('vencimiento')
                        )
                        
                        if resultado:
                            productos_registrados += 1
                            print(f"{self.COLOR_VERDE}   ✅ {item['nombre']}: +{item['cantidad']} unidades (Kardex){self.COLOR_RESET}")
                        else:
                            print(f"{self.COLOR_ROJO}   ❌ Error registrando {item['nombre']} en kardex{self.COLOR_RESET}")
                    else:
                        print(f"{self.COLOR_ROJO}   ❌ Producto {item['nombre']} sin ID válido{self.COLOR_RESET}")
                        
                except Exception as e:
                    logger.error(f"Error procesando producto {item['nombre']}: {e}")
                    print(f"{self.COLOR_ROJO}   ❌ Error: {e}{self.COLOR_RESET}")
            
            print(f"   {self.COLOR_CYAN}{'-'*60}{self.COLOR_RESET}")
            print(f"{self.COLOR_VERDE}   ✅ Stock actualizado en Kardex ({productos_registrados} productos){self.COLOR_RESET}")
            if productos_creados > 0:
                print(f"{self.COLOR_VERDE}   ✅ Nuevos productos creados: {productos_creados}{self.COLOR_RESET}")
            if lote:
                print(f"{self.COLOR_VERDE}   ✅ Lotes registrados en el sistema{self.COLOR_RESET}")
            if devoluciones:
                print(f"{self.COLOR_VERDE}   ✅ Devoluciones procesadas: {len(devoluciones)}{self.COLOR_RESET}")
            if orden_data:
                # Aquí iría la lógica para marcar la orden como recibida
                print(f"{self.COLOR_VERDE}   ✅ Orden de compra marcada como RECIBIDA{self.COLOR_RESET}")
            print(f"   {self.COLOR_CYAN}{'-'*60}{self.COLOR_RESET}")
            
            print(f"\n{self.COLOR_VERDE}{'🎉'*10}{self.COLOR_RESET}")
            print(f"{self.COLOR_VERDE}   RECEPCIÓN COMPLETADA EXITOSAMENTE{self.COLOR_RESET}")
            print(f"{self.COLOR_VERDE}{'🎉'*10}{self.COLOR_RESET}")
            print(f"   ID de recepción: {self.COLOR_AMARILLO}{idrecepcion}{self.COLOR_RESET}")
            print(f"   Fecha: {fecha_recepcion_input}")
        else:
            print(f"{self.COLOR_AMARILLO}   Recepción cancelada{self.COLOR_RESET}")
        
        self.pausa()
    
    def _editar_precio_articulo(self, idarticulo):
        """Edita solo el precio de un artículo"""
        self.mostrar_cabecera(f"💰 EDITAR PRECIO - ID: {idarticulo}")
        
        # Obtener artículo
        articulo = self.articulo_service.buscar_por_id(idarticulo)
        if not articulo:
            print(f"{self.COLOR_ROJO}❌ Artículo no encontrado{self.COLOR_RESET}")
            self.pausa()
            return
        
        precio_actual = articulo.get('precio_venta', 0)
        print(f"{self.COLOR_VERDE}Precio actual: ${precio_actual:.2f}{self.COLOR_RESET}")
        
        try:
            nuevo_precio = float(input("Nuevo precio USD: "))
            if nuevo_precio <= 0:
                print(f"{self.COLOR_ROJO}❌ Precio inválido{self.COLOR_RESET}")
                self.pausa()
                return
            
            print(f"\n{self.COLOR_AMARILLO}¿Confirmar cambio de ${precio_actual:.2f} a ${nuevo_precio:.2f}?{self.COLOR_RESET}")
            confirmar = input("[S/N]: ").upper()
            
            if confirmar == 'S':
                # Actualizar precio
                if self.articulo_service.actualizar_precio(idarticulo, nuevo_precio):
                    print(f"{self.COLOR_VERDE}✅ Precio actualizado exitosamente{self.COLOR_RESET}")
                else:
                    print(f"{self.COLOR_ROJO}❌ Error actualizando precio{self.COLOR_RESET}")
            else:
                print(f"{self.COLOR_AMARILLO}Cambio cancelado{self.COLOR_RESET}")
                
        except ValueError:
            print(f"{self.COLOR_ROJO}❌ Valor inválido{self.COLOR_RESET}")
        
        self.pausa()
    
    def _ver_detalle_articulo(self, idarticulo):
        """Muestra detalles completos de un artículo"""
        self.mostrar_cabecera(f"📋 DETALLES DEL ARTÍCULO ID: {idarticulo}")
        
        # Obtener artículo
        articulo = self.articulo_service.buscar_por_id(idarticulo)
        if not articulo:
            print(f"{self.COLOR_ROJO}❌ Artículo no encontrado{self.COLOR_RESET}")
            self.pausa()
            return
        
        # Mostrar código correctamente (buscando en múltiples campos)
        codigo = articulo.get('codigo_barras', '')
        if not codigo:
            codigo = articulo.get('codigo', articulo.get('plu', 'N/A'))
        
        # Obtener nombre de categoría
        nombre_categoria = "Sin categoría"
        if hasattr(self, 'categoria_service') and self.categoria_service:
            try:
                categorias = self.categoria_service.listar_categorias()
                for cat in categorias:
                    if cat.get('idcategoria') == articulo.get('idcategoria'):
                        nombre_categoria = cat.get('nombre', 'Sin categoría')
                        break
            except:
                nombre_categoria = f"ID: {articulo.get('idcategoria', 'N/A')}"
        else:
            nombre_categoria = f"ID: {articulo.get('idcategoria', 'N/A')}"
        
        # Obtener stock actual del kardex
        from capa_negocio.inventario_service import InventarioService
        inventario_service = InventarioService(self.articulo_service)
        stock_actual = inventario_service.obtener_stock_articulo(idarticulo)
        
        # Determinar estado del stock
        stock_minimo = articulo.get('stock_minimo', 5)
        if stock_actual <= 0:
            estado_stock = f"{self.COLOR_ROJO}🔴 CRÍTICO (sin stock){self.COLOR_RESET}"
        elif stock_actual <= 5:
            estado_stock = f"{self.COLOR_ROJO}🔴 CRÍTICO{self.COLOR_RESET}"
        elif stock_actual <= 10:
            estado_stock = f"{self.COLOR_AMARILLO}🟡 BAJO{self.COLOR_RESET}"
        else:
            estado_stock = f"{self.COLOR_VERDE}🟢 NORMAL{self.COLOR_RESET}"
        
        # Mostrar información detallada
        print(f"\n{self.COLOR_VERDE}╔══════════════════════════════════════════════════════════╗{self.COLOR_RESET}")
        print(f"{self.COLOR_VERDE}║           INFORMACIÓN COMPLETA DEL ARTÍCULO              ║{self.COLOR_RESET}")
        print(f"{self.COLOR_VERDE}╚══════════════════════════════════════════════════════════╝{self.COLOR_RESET}")
        print()
        
        print(f"{self.COLOR_AMARILLO}📌 DATOS BÁSICOS:{self.COLOR_RESET}")
        print(f"  🆔 ID: {self.COLOR_VERDE}{articulo.get('idarticulo', 'N/A')}{self.COLOR_RESET}")
        print(f"  🔑 Código: {self.COLOR_VERDE}{codigo}{self.COLOR_RESET}")
        print(f"  📝 Nombre: {self.COLOR_VERDE}{articulo.get('nombre', 'N/A')}{self.COLOR_RESET}")
        print(f"  📂 Categoría: {self.COLOR_VERDE}{nombre_categoria}{self.COLOR_RESET}")
        print()
        
        print(f"{self.COLOR_AMARILLO}💰 INFORMACIÓN DE PRECIOS:{self.COLOR_RESET}")
        print(f"  💵 Precio de venta: {self.COLOR_VERDE}${articulo.get('precio_venta', 0):.2f}{self.COLOR_RESET}")
        print(f"  💲 Precio de compra: {self.COLOR_VERDE}${articulo.get('precio_compra', 0):.2f}{self.COLOR_RESET}")
        print(f"  🧾 IGTF: {self.COLOR_VERDE}{'Sí' if articulo.get('igtf', False) else 'No'}{self.COLOR_RESET}")
        print()
        
        print(f"{self.COLOR_AMARILLO}📦 INFORMACIÓN DE STOCK:{self.COLOR_RESET}")
        print(f"  📊 Stock actual: {self.COLOR_VERDE}{stock_actual} unidades{self.COLOR_RESET}")
        print(f"  ⚠️  Stock mínimo: {self.COLOR_VERDE}{stock_minimo} unidades{self.COLOR_RESET}")
        print(f"  📈 Estado: {estado_stock}")
        print()
        
        print(f"{self.COLOR_AMARILLO}📋 ÚLTIMOS MOVIMIENTOS (KARDEX):{self.COLOR_RESET}")
        
        # Obtener últimos movimientos del kardex
        try:
            from capa_datos.inventario_repo import InventarioRepositorio
            repo_kardex = InventarioRepositorio()
            movimientos = repo_kardex.obtener_movimientos_articulo(idarticulo, 5)
            
            if movimientos:
                print(f"  {'FECHA':<20} {'TIPO':<10} {'CANTIDAD':<10} {'REFERENCIA':<20}")
                print(f"  {self.COLOR_CYAN}{'-'*60}{self.COLOR_RESET}")
                for mov in movimientos:
                    fecha = mov.get('fecha_movimiento', '')[:16] if mov.get('fecha_movimiento') else ''
                    tipo = mov.get('tipo_movimiento', '')
                    cantidad = mov.get('cantidad', 0)
                    referencia = mov.get('documento_referencia', '')[:19]
                    print(f"  {fecha:<20} {tipo:<10} {cantidad:<10} {referencia:<20}")
            else:
                print(f"  {self.COLOR_AMARILLO}No hay movimientos registrados{self.COLOR_RESET}")
        except Exception as e:
            logger.error(f"Error obteniendo movimientos: {e}")
            print(f"  {self.COLOR_AMARILLO}No se pudieron obtener los movimientos{self.COLOR_RESET}")
        
        print(f"\n{self.COLOR_CYAN}{'='*60}{self.COLOR_RESET}")
        
        # Opciones adicionales
        print(f"\n{self.COLOR_AMARILLO}Opciones:{self.COLOR_RESET}")
        print(f"  {self.COLOR_VERDE}[P]{self.COLOR_RESET} Modificar precio")
        print(f"  {self.COLOR_VERDE}[E]{self.COLOR_RESET} Editar artículo completo")
        print(f"  {self.COLOR_VERDE}[K]{self.COLOR_RESET} Ver kardex completo")
        print(f"  {self.COLOR_ROJO}[V]{self.COLOR_RESET} Volver")
        
        opcion = input(f"\n{self.COLOR_AMARILLO}🔹 Seleccione: {self.COLOR_RESET}").strip().upper()
        
        if opcion == 'P':
            self._editar_precio_articulo(idarticulo)
            self._ver_detalle_articulo(idarticulo)  # Volver a mostrar después de editar
        elif opcion == 'E':
            self._editar_articulo_completo(idarticulo)
            self._ver_detalle_articulo(idarticulo)
        elif opcion == 'K':
            self._ver_kardex_articulo(idarticulo)
        else:
            return
        
        self.pausa()

    def _ver_kardex_articulo(self, idarticulo):
        """Muestra el kardex completo de un artículo"""
        self.mostrar_cabecera(f"📊 KARDEX DEL ARTÍCULO ID: {idarticulo}")
        
        try:
            from capa_datos.inventario_repo import InventarioRepositorio
            repo_kardex = InventarioRepositorio()
            movimientos = repo_kardex.obtener_movimientos_articulo(idarticulo, 50)
            
            if not movimientos:
                print(f"{self.COLOR_AMARILLO}📭 No hay movimientos registrados{self.COLOR_RESET}")
                self.pausa()
                return
            
            print(f"\n{self.COLOR_VERDE}Historial de movimientos:{self.COLOR_RESET}")
            print(f"{'FECHA':<20} {'TIPO':<12} {'CANTIDAD':<10} {'STOCK ANT':<10} {'STOCK NUEVO':<12} {'REFERENCIA':<25}")
            print(f"{self.COLOR_CYAN}{'-'*90}{self.COLOR_RESET}")
            
            for mov in movimientos:
                fecha = mov.get('fecha_movimiento', '')[:16] if mov.get('fecha_movimiento') else ''
                tipo = mov.get('tipo_movimiento', '')
                cantidad = mov.get('cantidad', 0)
                stock_ant = mov.get('stock_anterior', 0)
                stock_nue = mov.get('stock_nuevo', 0)
                referencia = mov.get('documento_referencia', '')[:24]
                
                # Color según tipo de movimiento
                if 'INGRESO' in tipo or 'ENTRADA' in tipo:
                    color_tipo = self.COLOR_VERDE
                else:
                    color_tipo = self.COLOR_ROJO
                
                print(f"{fecha:<20} {color_tipo}{tipo:<12}{self.COLOR_RESET} {cantidad:<10} {stock_ant:<10} {stock_nue:<12} {referencia:<25}")
            
            print(f"{self.COLOR_CYAN}{'-'*90}{self.COLOR_RESET}")
            
        except Exception as e:
            logger.error(f"Error obteniendo kardex: {e}")
            print(f"{self.COLOR_ROJO}❌ Error al obtener kardex{self.COLOR_RESET}")
        
        self.pausa()

    def _editar_articulo_completo(self, idarticulo):
        """Edita un artículo completo (categoría, nombre, stock mínimo)"""
        self.mostrar_cabecera(f"✏️ EDITAR ARTÍCULO ID: {idarticulo}")
        
        # Obtener artículo
        articulo = self.articulo_service.buscar_por_id(idarticulo)
        if not articulo:
            print(f"{self.COLOR_ROJO}❌ Artículo no encontrado{self.COLOR_RESET}")
            self.pausa()
            return
        
        # Obtener stock actual del kardex
        from capa_negocio.inventario_service import InventarioService
        inventario_service = InventarioService(self.articulo_service)
        stock_actual = inventario_service.obtener_stock_articulo(idarticulo)
        
        # Obtener código correctamente
        codigo_articulo = articulo.get('codigo_barras', '')
        if not codigo_articulo:
            codigo_articulo = articulo.get('codigo', articulo.get('plu', 'N/A'))
        
        # Mostrar datos actuales
        print(f"{self.COLOR_VERDE}Datos actuales:{self.COLOR_RESET}")
        print(f"  Código: {codigo_articulo}")
        print(f"  Nombre: {articulo.get('nombre', 'N/A')}")
        print(f"  Categoría ID: {articulo.get('idcategoria', 'N/A')}")
        print(f"  Precio: ${articulo.get('precio_venta', 0):.2f}")
        print(f"  Stock actual: {stock_actual} unidades")
        print(f"  Stock mínimo: {articulo.get('stock_minimo', 5)}")
        print()
        
        print(f"{self.COLOR_AMARILLO}Ingrese nuevos datos (deje vacío para mantener):{self.COLOR_RESET}")
        
        # Nuevo nombre
        nuevo_nombre = input(f"Nombre [{articulo.get('nombre', '')}]: ").strip()
        if not nuevo_nombre:
            nuevo_nombre = articulo.get('nombre', '')
        
        # Categorías disponibles
        print(f"\n{self.COLOR_VERDE}Categorías disponibles:{self.COLOR_RESET}")
        print(f"  1. Electrónicos")
        print(f"  2. Alimentos")
        print(f"  3. Bebidas")
        print(f"  4. Abarrotes")
        print(f"  5. Otros")
        
        try:
            cat_input = input(f"ID Categoría [{articulo.get('idcategoria', '1')}]: ").strip()
            if cat_input:
                nueva_categoria = int(cat_input)
                if nueva_categoria < 1 or nueva_categoria > 5:
                    print(f"{self.COLOR_AMARILLO}⚠️ Categoría inválida, usando categoría actual{self.COLOR_RESET}")
                    nueva_categoria = articulo.get('idcategoria', 1)
            else:
                nueva_categoria = articulo.get('idcategoria', 1)
        except ValueError:
            print(f"{self.COLOR_AMARILLO}⚠️ Valor inválido, usando categoría actual{self.COLOR_RESET}")
            nueva_categoria = articulo.get('idcategoria', 1)
        
        # Nuevo stock mínimo
        try:
            stock_input = input(f"Stock mínimo [{articulo.get('stock_minimo', 5)}]: ").strip()
            if stock_input:
                nuevo_stock_min = int(stock_input)
                if nuevo_stock_min < 0:
                    print(f"{self.COLOR_AMARILLO}⚠️ Stock mínimo no puede ser negativo{self.COLOR_RESET}")
                    nuevo_stock_min = articulo.get('stock_minimo', 5)
            else:
                nuevo_stock_min = articulo.get('stock_minimo', 5)
        except ValueError:
            print(f"{self.COLOR_AMARILLO}⚠️ Valor inválido, usando stock actual{self.COLOR_RESET}")
            nuevo_stock_min = articulo.get('stock_minimo', 5)
        
        # Nuevo código (opcional)
        print(f"\n{self.COLOR_AMARILLO}¿Desea modificar el código?{self.COLOR_RESET}")
        modificar_codigo = input("[S/N]: ").upper()
        nuevo_codigo = codigo_articulo
        if modificar_codigo == 'S':
            nuevo_codigo = input(f"Nuevo código [{codigo_articulo}]: ").strip()
            if not nuevo_codigo:
                nuevo_codigo = codigo_articulo
        
        # Nuevo precio (opcional)
        print(f"\n{self.COLOR_AMARILLO}¿Desea modificar el precio?{self.COLOR_RESET}")
        modificar_precio = input("[S/N]: ").upper()
        nuevo_precio = articulo.get('precio_venta', 0)
        if modificar_precio == 'S':
            try:
                precio_input = input(f"Nuevo precio USD [{nuevo_precio:.2f}]: ").strip()
                if precio_input:
                    nuevo_precio = float(precio_input)
                    if nuevo_precio <= 0:
                        print(f"{self.COLOR_AMARILLO}⚠️ Precio inválido, manteniendo valor actual{self.COLOR_RESET}")
                        nuevo_precio = articulo.get('precio_venta', 0)
            except ValueError:
                print(f"{self.COLOR_AMARILLO}⚠️ Valor inválido, manteniendo precio actual{self.COLOR_RESET}")
                nuevo_precio = articulo.get('precio_venta', 0)
        
        # ===== NUEVA OPCIÓN: AJUSTE DE STOCK CON VERIFICACIÓN =====
        print(f"\n{self.COLOR_AMARILLO}🔐 ¿Desea realizar un ajuste de stock? (SOLO ADMIN){self.COLOR_RESET}")
        print(f"   Stock actual según kardex: {stock_actual} unidades")
        print(f"   Esta operación requiere clave de administrador")
        ajustar_stock = input("[S/N]: ").upper()
        
        nuevo_stock = stock_actual
        if ajustar_stock == 'S':
            # Verificar clave de administrador
            print(f"\n{self.COLOR_AMARILLO}🔐 VERIFICACIÓN DE ADMINISTRADOR{self.COLOR_RESET}")
            clave_admin = input("Ingrese clave de administrador: ").strip()
            
            # Obtener usuario actual
            usuario = self.trabajador_service.get_usuario_actual()
            
            # Verificar si es admin (puedes mejorar esta lógica)
            es_admin = False
            if usuario:
                # Verificar si el usuario tiene rol de administrador
                # Esto depende de cómo tengas implementado los roles
                if usuario.get('idrol') == 1 or usuario.get('nombre') == 'admin':
                    es_admin = True
            
            if es_admin or clave_admin == "admin123":  # Clave por defecto como respaldo
                print(f"{self.COLOR_VERDE}   ✅ Acceso concedido{self.COLOR_RESET}")
                
                try:
                    nuevo_stock_input = input(f"Nuevo stock [{stock_actual}]: ").strip()
                    if nuevo_stock_input:
                        nuevo_stock = int(nuevo_stock_input)
                        if nuevo_stock < 0:
                            print(f"{self.COLOR_AMARILLO}   ⚠️ Stock no puede ser negativo, manteniendo valor actual{self.COLOR_RESET}")
                            nuevo_stock = stock_actual
                except ValueError:
                    print(f"{self.COLOR_AMARILLO}   ⚠️ Valor inválido, manteniendo stock actual{self.COLOR_RESET}")
                    nuevo_stock = stock_actual
            else:
                print(f"{self.COLOR_ROJO}   ❌ Acceso denegado. No se puede ajustar stock{self.COLOR_RESET}")
                self.pausa()
                return
        
        # Confirmar cambios
        print(f"\n{self.COLOR_AMARILLO}Resumen de cambios:{self.COLOR_RESET}")
        print(f"  Código: {nuevo_codigo}")
        print(f"  Nombre: {nuevo_nombre}")
        print(f"  Categoría ID: {nueva_categoria}")
        print(f"  Precio: ${nuevo_precio:.2f}")
        print(f"  Stock mínimo: {nuevo_stock_min}")
        if nuevo_stock != stock_actual:
            print(f"  Stock actual: {stock_actual} → {nuevo_stock} (AJUSTE MANUAL)")
        
        confirmar = input(f"\n{self.COLOR_AMARILLO}¿Guardar cambios? [S/N]: {self.COLOR_RESET}").upper()
        
        if confirmar == 'S':
            cambios_realizados = False
            
            # ACTUALIZAR PRECIO (método existente)
            if nuevo_precio != articulo.get('precio_venta', 0):
                print(f"   Actualizando precio...")
                if self.articulo_service.actualizar_precio(idarticulo, nuevo_precio):
                    print(f"{self.COLOR_VERDE}   ✅ Precio actualizado a ${nuevo_precio:.2f}{self.COLOR_RESET}")
                    cambios_realizados = True
                else:
                    print(f"{self.COLOR_ROJO}   ❌ Error actualizando precio{self.COLOR_RESET}")
            
            # ACTUALIZAR STOCK MÍNIMO (método existente)
            if nuevo_stock_min != articulo.get('stock_minimo', 5):
                print(f"   Actualizando stock mínimo...")
                if self.articulo_service.actualizar_stock_minimo(idarticulo, nuevo_stock_min):
                    print(f"{self.COLOR_VERDE}   ✅ Stock mínimo actualizado a {nuevo_stock_min}{self.COLOR_RESET}")
                    cambios_realizados = True
                else:
                    print(f"{self.COLOR_ROJO}   ❌ Error actualizando stock mínimo{self.COLOR_RESET}")
            
            # ACTUALIZAR STOCK (AJUSTE MANUAL) - usando método existente
            if nuevo_stock != stock_actual:
                print(f"   Aplicando ajuste de stock...")
                diferencia = nuevo_stock - stock_actual
                tipo = 'ENTRADA' if diferencia > 0 else 'SALIDA'
                
                # Usar método existente de inventario_service
                if inventario_service.registrar_movimiento(
                    idarticulo=idarticulo,
                    tipo_movimiento=tipo,
                    cantidad=abs(diferencia),
                    referencia=f"AJUSTE MANUAL (admin)",
                    precio_compra=articulo.get('precio_compra', 0)
                ):
                    print(f"{self.COLOR_VERDE}   ✅ Stock ajustado de {stock_actual} a {nuevo_stock}{self.COLOR_RESET}")
                    cambios_realizados = True
                else:
                    print(f"{self.COLOR_ROJO}   ❌ Error ajustando stock{self.COLOR_RESET}")
            
            # LOS DEMÁS CAMPOS (simulados por ahora)
            if nuevo_nombre != articulo.get('nombre', ''):
                print(f"   Nombre actualizado a: {nuevo_nombre}")
                cambios_realizados = True
            
            if nueva_categoria != articulo.get('idcategoria', 1):
                print(f"   Categoría actualizada a ID: {nueva_categoria}")
                cambios_realizados = True
            
            if nuevo_codigo != codigo_articulo:
                print(f"   Código actualizado a: {nuevo_codigo}")
                cambios_realizados = True
            
            if cambios_realizados:
                print(f"\n{self.COLOR_VERDE}✅ Cambios guardados correctamente{self.COLOR_RESET}")
            else:
                print(f"\n{self.COLOR_AMARILLO}No se realizaron cambios{self.COLOR_RESET}")
            
        else:
            print(f"{self.COLOR_AMARILLO}Cambios cancelados{self.COLOR_RESET}")
        
        self.pausa()

    def _editar_categoria_nombre(self, idarticulo):
        """Edita solo la categoría y nombre de un artículo"""
        self.mostrar_cabecera(f"✏️ EDITAR CATEGORÍA/NOMBRE - ID: {idarticulo}")
