=== ESTRUCTURA COMPLETA DE BASE DE DATOS ===

-- TABLAS Y SUS COLUMNAS
TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
FK_detalleventa_venta                                                                                                            detalle_venta                                                                                                                    idventa                                                                                                                          venta                                                                                                                            idventa                                                                                                                         
FK_detalleventa_articulo                                                                                                         detalle_venta                                                                                                                    idarticulo                                                                                                                       articulo                                                                                                                         idarticulo                                                                                                                      
FK__devolucio__idrec__4589517F                                                                                                   devolucion                                                                                                                       idrecepcion                                                                                                                      recepcion                                                                                                                        idrecepcion                                                                                                                     
FK__devolucio__iddet__467D75B8                                                                                                   devolucion                                                                                                                       iddetalle_recepcion                                                                                                              detalle_recepcion                                                                                                                iddetalle                                                                                                                       
FK__devolucio__idart__477199F1                                                                                                   devolucion                                                                                                                       idarticulo                                                                                                                       articulo                                                                                                                         idarticulo                                                                                                                      
FK__historial__idcat__1881A0DE                                                                                                   historial_correcciones                                                                                                           idcategoria_asignada                                                                                                             categoria                                                                                                                        idcategoria                                                                                                                     
FK__historial__id_im__1975C517                                                                                                   historial_correcciones                                                                                                           id_impuesto_asignado                                                                                                             impuesto                                                                                                                         id_impuesto                                                                                                                     
FK_ingreso_trabajador                                                                                                            ingreso                                                                                                                          idtrabajador                                                                                                                     trabajador                                                                                                                       idtrabajador                                                                                                                    
FK_ingreso_proveedor                                                                                                             ingreso                                                                                                                          idproveedor                                                                                                                      proveedor                                                                                                                        idproveedor                                                                                                                     
FK_kardex_articulo                                                                                                               kardex                                                                                                                           idarticulo                                                                                                                       articulo                                                                                                                         idarticulo                                                                                                                      
FK_lote_articulo                                                                                                                 lote                                                                                                                             idarticulo                                                                                                                       articulo                                                                                                                         idarticulo                                                                                                                      
FK_lote_ingreso                                                                                                                  lote                                                                                                                             idingreso                                                                                                                        ingreso                                                                                                                          idingreso                                                                                                                       
FK__marcas_co__idcat__24E777C3                                                                                                   marcas_conocidas                                                                                                                 idcategoria_predeterminada                                                                                                       categoria                                                                                                                        idcategoria                                                                                                                     
FK__marcas_co__id_im__25DB9BFC                                                                                                   marcas_conocidas                                                                                                                 id_impuesto_predeterminado                                                                                                       impuesto                                                                                                                         id_impuesto                                                                                                                     
FK__orden_com__idpro__2F9A1060                                                                                                   orden_compra                                                                                                                     idproveedor                                                                                                                      proveedor                                                                                                                        idproveedor                                                                                                                     
FK__orden_com__idtra__308E3499                                                                                                   orden_compra                                                                                                                     idtrabajador                                                                                                                     trabajador                                                                                                                       idtrabajador                                                                                                                    
FK__palabras___idpal__314D4EA8                                                                                                   palabras_familia                                                                                                                 idpalabra                                                                                                                        aprendizaje_palabras                                                                                                             idpalabra                                                                                                                       
FK__palabras___idfam__324172E1                                                                                                   palabras_familia                                                                                                                 idfamilia                                                                                                                        familias_palabras                                                                                                                idfamilia                                                                                                                       
FK_pedido_cliente                                                                                                                pedido                                                                                                                           idcliente                                                                                                                        cliente                                                                                                                          idcliente                                                                                                                       
FK_pedido_trabajador                                                                                                             pedido                                                                                                                           idtrabajador                                                                                                                     trabajador                                                                                                                       idtrabajador                                                                                                                    
FK__prefijos___idcat__370627FE                                                                                                   prefijos_codigo_barras                                                                                                           idcategoria_sugerida                                                                                                             categoria                                                                                                                        idcategoria                                                                                                                     
FK__prefijos___id_im__37FA4C37                                                                                                   prefijos_codigo_barras                                                                                                           id_impuesto_sugerido                                                                                                             impuesto                                                                                                                         id_impuesto                                                                                                                     
FK_promocion_articulo                                                                                                            promocion                                                                                                                        id_articulo                                                                                                                      articulo                                                                                                                         idarticulo                                                                                                                      
FK_proveedor_archivos_proveedor                                                                                                  proveedor_archivos                                                                                                               idproveedor                                                                                                                      proveedor                                                                                                                        idproveedor                                                                                                                     
FK__recepcion__idord__373B3228                                                                                                   recepcion                                                                                                                        idorden                                                                                                                          orden_compra                                                                                                                     idorden                                                                                                                         
FK__recepcion__idpro__382F5661                                                                                                   recepcion                                                                                                                        idproveedor                                                                                                                      proveedor                                                                                                                        idproveedor                                                                                                                     
FK__recepcion__idtra__39237A9A                                                                                                   recepcion                                                                                                                        idtrabajador                                                                                                                     trabajador                                                                                                                       idtrabajador                                                                                                                    
FK__regla_apr__id_im__075714DC                                                                                                   regla_aprendizaje                                                                                                                id_impuesto                                                                                                                      impuesto                                                                                                                         id_impuesto                                                                                                                     
FK_reset_tokens_trabajador                                                                                                       reset_tokens                                                                                                                     idtrabajador                                                                                                                     trabajador                                                                                                                       idtrabajador                                                                                                                    
FK__rol_permi__idrol__123EB7A3                                                                                                   rol_permiso                                                                                                                      idrol                                                                                                                            rol                                                                                                                              idrol                                                                                                                           
FK__rol_permi__idper__1332DBDC                                                                                                   rol_permiso                                                                                                                      idpermiso                                                                                                                        permiso                                                                                                                          idpermiso                                                                                                                       
FK_venta_cliente                                                                                                                 venta                                                                                                                            idcliente                                                                                                                        cliente                                                                                                                          idcliente                                                                                                                       
FK_venta_trabajador                                                                                                              venta                                                                                                                            idtrabajador                                                                                                                     trabajador                                                                                                                       idtrabajador                                                                                                                    
FK_venta_pedido                                                                                                                  venta                                                                                                                            idpedido                                                                                                                         pedido                                                                                                                           idpedido                                                                                                                        

(50 rows affected)

-- ÍNDICES Y RESTRICCIONES
TABLA                                                                                                                            INDICE                                                                                                                           TIPO                                                         COLUMNAS                                                                                                                                                                                                                                                        
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------------ ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
aprendizaje_palabras                                                                                                             IX_aprendizaje_palabra                                                                                                           NONCLUSTERED                                                 palabra                                                                                                                                                                                                                                                         
aprendizaje_palabras                                                                                                             PK__aprendiz__EB1C80A934A2B8C0                                                                                                   CLUSTERED                                                    idpalabra                                                                                                                                                                                                                                                       
articulo                                                                                                                         IX_articulo_categoria                                                                                                            NONCLUSTERED                                                 idcategoria                                                                                                                                                                                                                                                     
articulo                                                                                                                         IX_articulo_presentacion                                                                                                         NONCLUSTERED                                                 idpresentacion                                                                                                                                                                                                                                                  
articulo                                                                                                                         PK__articulo__BCE2F8F79B88CA9D                                                                                                   CLUSTERED                                                    idarticulo                                                                                                                                                                                                                                                      
articulo                                                                                                                         UQ__articulo__40F9A206BBE18BE1                                                                                                   NONCLUSTERED                                                 codigo                                                                                                                                                                                                                                                          
articulo                                                                                                                         UQ_articulo_codigo_barras                                                                                                        NONCLUSTERED                                                 codigo_barras                                                                                                                                                                                                                                                   
categoria                                                                                                                        PK__categori__140587C7A3A5098D                                                                                                   CLUSTERED                                                    idcategoria                                                                                                                                                                                                                                                     
cliente                                                                                                                          PK__cliente__7B86132FE8D3B521                                                                                                    CLUSTERED                                                    idcliente                                                                                                                                                                                                                                                       
combo                                                                                                                            PK__combo__7F0902ED7E45A8FA                                                                                                      CLUSTERED                                                    id_combo                                                                                                                                                                                                                                                        
combo                                                                                                                            UQ__combo__C76C7D22F973A565                                                                                                      NONCLUSTERED                                                 codigo_combo                                                                                                                                                                                                                                                    
combo_detalle                                                                                                                    PK__combo_de__ECFFEAC52BAA0316                                                                                                   CLUSTERED                                                    id_combo, id_articulo                                                                                                                                                                                                                                           
compra                                                                                                                           IX_compra_estado                                                                                                                 NONCLUSTERED                                                 estado                                                                                                                                                                                                                                                          
compra                                                                                                                           IX_compra_fecha                                                                                                                  NONCLUSTERED                                                 fecha_hora                                                                                                                                                                                                                                                      
compra                                                                                                                           IX_compra_proveedor                                                                                                              NONCLUSTERED                                                 idproveedor                                                                                                                                                                                                                                                     
compra                                                                                                                           PK__compra__81E11FE3B68DC973                                                                                                     CLUSTERED                                                    idcompra                                                                                                                                                                                                                                                        
configuracion                                                                                                                    PK__configur__8F0A1FB233E6AE4B                                                                                                   CLUSTERED                                                    id_config                                                                                                                                                                                                                                                       
configuracion_medios_pago                                                                                                        PK__configur__A5644C7CB5CD41A2                                                                                                   CLUSTERED                                                    idconfig                                                                                                                                                                                                                                                        
configuracion_medios_pago                                                                                                        UQ__configur__5E0DD2C9892AAFF4                                                                                                   NONCLUSTERED                                                 medio_pago                                                                                                                                                                                                                                                      
detalle_compra                                                                                                                   IX_detallecompra_articulo                                                                                                        NONCLUSTERED                                                 idarticulo                                                                                                                                                                                                                                                      
detalle_compra                                                                                                                   IX_detallecompra_compra                                                                                                          NONCLUSTERED                                                 idcompra                                                                                                                                                                                                                                                        
detalle_compra                                                                                                                   PK__detalle___5729859C6A19C8A7                                                                                                   CLUSTERED                                                    iddetalle_compra                                                                                                                                                                                                                                                
detalle_ingreso                                                                                                                  IX_detalleingreso_articulo                                                                                                       NONCLUSTERED                                                 idarticulo                                                                                                                                                                                                                                                      
detalle_ingreso                                                                                                                  PK__detalle___55124CDBD4A1D210                                                                                                   CLUSTERED                                                    iddetalle_ingreso                                                                                                                                                                                                                                               
detalle_pedido                                                                                                                   PK__detalle___B5F0914D128292CB                                                                                                   CLUSTERED                                                    iddetalle_pedido                                                                                                                                                                                                                                                
detalle_recepcion                                                                                                                PK__detalle___6FE8F71F491764AA                                                                                                   CLUSTERED                                                    iddetalle                                                                                                                                                                                                                                                       
detalle_venta                                                                                                                    IX_detalleventa_articulo                                                                                                         NONCLUSTERED                                                 idarticulo                                                                                                                                                                                                                                                      
detalle_venta                                                                                                                    PK__detalle___5CEC1648D4E50B8C                                                                                                   CLUSTERED                                                    iddetalle_venta                                                                                                                                                                                                                                                 
devolucion                                                                                                                       PK__devoluci__8F9055B6EBB37C52                                                                                                   CLUSTERED                                                    iddevolucion                                                                                                                                                                                                                                                    
familias_palabras                                                                                                                IX_familias_nombre                                                                                                               NONCLUSTERED                                                 nombre_familia                                                                                                                                                                                                                                                  
familias_palabras                                                                                                                PK__familias__AB5387F5DBDFE88F                                                                                                   CLUSTERED                                                    idfamilia                                                                                                                                                                                                                                                       
familias_palabras                                                                                                                UQ__familias__DE88EC75BF0DAE58                                                                                                   NONCLUSTERED                                                 nombre_familia                                                                                                                                                                                                                                                  
fuente_tasa                                                                                                                      PK__fuente_t__AF7BCED2EA7E52B8                                                                                                   CLUSTERED                                                    idfuente                                                                                                                                                                                                                                                        
historial_correcciones                                                                                                           IX_historial_fecha                                                                                                               NONCLUSTERED                                                 fecha_correccion                                                                                                                                                                                                                                                
historial_correcciones                                                                                                           IX_historial_producto                                                                                                            NONCLUSTERED                                                 producto_nombre                                                                                                                                                                                                                                                 
historial_correcciones                                                                                                           PK__historia__E75554EE67651BF4                                                                                                   CLUSTERED                                                    idcorreccion                                                                                                                                                                                                                                                    
impuesto                                                                                                                         PK__impuesto__8546BDFCC3B953F8                                                                                                   CLUSTERED                                                    id_impuesto                                                                                                                                                                                                                                                     
ingreso                                                                                                                          IX_ingreso_fecha                                                                                                                 NONCLUSTERED                                                 fecha                                                                                                                                                                                                                                                           
